content,source,rating,date,sentiment_label,sentiment_score,category,priority_score
Excellent 👌,google_play,5,2026-02-17 14:52:59,positive,0.5719,Other,0.0
very good and reliable,google_play,5,2026-02-23 14:52:48,positive,0.4927,Other,0.0
Nice 👍,google_play,4,2026-02-22 14:52:44,positive,0.4215,Other,0.0
best,google_play,5,2026-02-21 14:52:43,positive,0.6369,Other,0.0
Good,google_play,5,2026-02-20 14:52:34,positive,0.4404,Other,0.0
am grateful 🙏,google_play,5,2026-02-19 14:52:33,positive,0.4588,Other,0.0
best hai,google_play,5,2026-02-18 14:52:32,positive,0.6369,Other,0.0
nice,google_play,5,2026-02-17 14:52:32,positive,0.4215,Other,0.0
good,google_play,5,2026-02-23 14:52:29,positive,0.4404,Other,0.0
awesome 👌,google_play,5,2026-02-22 14:52:28,positive,0.6249,Other,0.0
good,google_play,5,2026-02-21 14:52:07,positive,0.4404,Other,0.0
Kiya baat hy Whatsapp ki bs ye na HOTA to Ashiq log ka time hi nhi guazarta,google_play,5,2026-02-20 14:51:58,neutral,0.0,Other,0.0
bekaar,google_play,1,2026-02-19 14:51:47,neutral,0.0,Other,0.0
fine very good whatsapp thank u,google_play,5,2026-02-18 14:51:44,positive,0.7755,Other,0.0
Good 👍,google_play,5,2026-02-17 14:51:20,positive,0.4404,Other,0.0
ok,google_play,5,2026-02-23 14:51:19,positive,0.296,Other,0.0
good App,google_play,5,2026-02-22 14:50:55,positive,0.4404,Other,0.0
superb. fantastic. amazing. simple. Everything you need.,google_play,5,2026-02-21 14:50:32,positive,0.91,Feature Request,0.0
"wonderful experience. video calls, voice calls, updates, etc keep it up!",google_play,5,2026-02-20 14:50:31,positive,0.5719,Other,0.0
Ma man buahisa,google_play,1,2026-02-19 14:50:28,neutral,0.0,Other,0.0
I think it's the best👍💯,google_play,3,2026-02-18 14:50:26,neutral,0.0,Other,0.0
nice 👍🏻,google_play,5,2026-02-17 14:50:15,positive,0.4215,Other,0.0
super 👌 👍 😍 🥰 😘 ☺️,google_play,5,2026-02-23 14:50:14,positive,0.5994,Other,0.0
تحفههه,google_play,5,2026-02-22 14:50:11,neutral,0.0,Other,0.0
I think WhatsApp is great overall. For calls (when you have good WiFi) and especially for texting (you could even have moderate WiFi and text effectively).,google_play,5,2026-02-21 14:50:02,positive,0.872,Other,0.0
good services,google_play,5,2026-02-20 14:50:02,positive,0.4404,Other,0.0
logout problem,google_play,1,2026-02-19 14:49:21,negative,-0.4019,Bug,104.79
Good,google_play,3,2026-02-18 14:49:20,positive,0.4404,Other,0.0
very good,google_play,5,2026-02-17 14:49:16,positive,0.4927,Other,0.0
i want to back up my all text messages,google_play,5,2026-02-23 14:49:10,positive,0.0772,Feature Request,0.0
life partner,google_play,5,2026-02-22 14:49:07,neutral,0.0,Other,0.0
👍,google_play,5,2026-02-21 14:48:55,neutral,0.0,Other,0.0
Best ever,google_play,5,2026-02-20 14:48:51,positive,0.6369,Other,0.0
good o,google_play,5,2026-02-19 14:48:48,positive,0.4404,Other,0.0
good,google_play,5,2026-02-18 14:48:34,positive,0.4404,Other,0.0
good,google_play,5,2026-02-17 14:48:34,positive,0.4404,Other,0.0
nice,google_play,5,2026-02-23 14:48:31,positive,0.4215,Other,0.0
very good 👍😊,google_play,5,2026-02-22 14:48:15,positive,0.4927,Other,0.0
Incredible app,google_play,5,2026-02-21 14:48:12,neutral,0.0,Other,0.0
all is well,google_play,5,2026-02-20 14:48:05,positive,0.2732,Other,0.0
is awesome thanks to you Google play,google_play,5,2026-02-19 14:48:01,positive,0.8555,Other,0.0
best apps,google_play,3,2026-02-18 14:47:58,positive,0.6369,Other,0.0
It's great 👍🏻 👌 ☺️,google_play,5,2026-02-17 14:47:54,positive,0.6249,Other,0.0
excellent,google_play,5,2026-02-23 14:47:54,positive,0.5719,Other,0.0
ok,google_play,4,2026-02-22 14:47:40,positive,0.296,Other,0.0
Soo nice,google_play,5,2026-02-21 14:47:40,positive,0.4215,Other,0.0
best' app for mobile phones I like the idea message was automatically generated by watching,google_play,5,2026-02-20 14:47:18,positive,0.7717,Other,0.0
okk,google_play,5,2026-02-19 14:47:17,neutral,0.0,Other,0.0
"What's the point of adding ads to personal accounts, literally absurd and violates people's privacy.",google_play,1,2026-02-18 14:47:08,negative,-0.5106,Feature Request,104.68
makes my life and convent.,google_play,5,2026-02-17 14:47:00,neutral,0.0,Other,0.0
mujhe status nahi dikha Rahe hai na hi thik ho RAHE hai 🥺🥺🥺😭😭,google_play,1,2026-02-23 14:46:50,neutral,0.0,Other,0.0
good,google_play,5,2026-02-22 14:46:45,positive,0.4404,Other,0.0
good,google_play,5,2026-02-21 14:46:44,positive,0.4404,Other,0.0
osm,google_play,5,2026-02-20 14:46:26,neutral,0.0,Other,0.0
its extraordinary,google_play,5,2026-02-19 14:46:08,neutral,0.0,Other,0.0
good thinks,google_play,5,2026-02-18 14:46:07,positive,0.4404,Other,0.0
very nice spp,google_play,5,2026-02-17 14:45:58,positive,0.4754,Other,0.0
it work very well,google_play,3,2026-02-23 14:45:26,positive,0.3384,Other,0.0
very nice sarvice 👍👍,google_play,5,2026-02-22 14:45:19,positive,0.4754,Other,0.0
